author,content,description,publishedAt,source,title,url,urlToImage
,"Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.
""Due to the seriousness of the injury, Neymar will neither be fit nor have time to recuperate sufficiently to part… [+2865 chars]","Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.The global network of Agence France-Presse covers 151 countriesIf you have news to share or a question, comm",2019-06-06T11:34:00Z,"{'id': None, 'name': 'Afp.com'}",Brazil's Neymar out of Copa America after tearing ankle ligament,https://www.afp.com/en/news/3955/brazils-neymar-out-copa-america-after-tearing-ankle-ligament-doc-1ha1am5,
,"Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.
""Due to the seriousness of the injury, Neymar will neither be fit nor have time to recuperate sufficiently to part… [+2865 chars]","Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.The global network of Agence France-Presse covers 151 countriesIf you have news to share or a question, comm",2019-06-06T13:11:00Z,"{'id': None, 'name': 'Afp.com'}",Brazil's Neymar out of Copa America after tearing ankle ligament,https://www.afp.com/en/news/15/brazils-neymar-out-copa-america-after-tearing-ankle-ligament-doc-1ha1am5,
,"Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.
""Due to the seriousness of the injury, Neymar will neither be fit nor have time to recuperate sufficiently to part… [+2865 chars]","Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.The global network of Agence France-Presse covers 151 countriesIf you have news to share or a question, comm",2019-06-06T12:59:00Z,"{'id': None, 'name': 'Afp.com'}",Brazil's Neymar out of Copa America after tearing ankle ligament,https://www.afp.com/en/news/3954/brazils-neymar-out-copa-america-after-tearing-ankle-ligament-doc-1ha1am5,
,"Brazil star Neymar has been ruled out of the Copa America after tearing ankle ligaments during his country's 2-0 win over Qatar in a pre-tournament friendly, capping a troubled season for the world's most expensive player.
The injury to the Paris Saint-Germa… [+3778 chars]","Brazil star Neymar has been ruled out of the Copa America after tearing ankle ligaments during his country's 2-0 win over Qatar in a pre-tournament friendly, capping a troubled season for the world's most expensive player.The global network of Age",2019-06-06T18:20:00Z,"{'id': None, 'name': 'Afp.com'}",Brazil's troubled Neymar out of Copa America after injury,https://www.afp.com/en/news/3955/brazils-troubled-neymar-out-copa-america-after-injury-doc-1ha5eu4,
https://www.facebook.com/bbcnews,"Image copyrightGetty ImagesImage caption
 Neymar has denied allegations that he raped Najila Trindade in a Paris hotel
A woman has appeared on Brazilian TV to go public with accusations that she was raped by star footballer Neymar.
Najila Trindade told the… [+4386 chars]","Najila Trindade accuses the Brazil footballer of ""assault together with rape"" in a Paris hotel.",2019-06-06T10:24:31Z,"{'id': 'bbc-news', 'name': 'BBC News'}",Neymar rape accuser appears in Brazil TV interview,https://www.bbc.co.uk/news/world-latin-america-48539113,https://ichef.bbci.co.uk/news/1024/branded_news/102D9/production/_107256266_mediaitem107256265.jpg
AP,"NBA FINALS
OAKLAND, Calif. — Toronto fended off a playoff-career-high 47 points from Stephen Curry, and beat the Golden State Warriors 123-109 on Wednesday night to take a 2-1 lead in the NBA Finals.
Kawhi Leonard scored 30 points, Kyle Lowry scored 23, Pas… [+3679 chars]",Wednesday's Sports in Brief,2019-06-06T06:51:31Z,"{'id': 'fox-sports', 'name': 'Fox Sports'}",Wednesday's Sports in Brief,https://www.foxsports.com/other/story/wednesday-s-sports-in-brief-060619,https://b.fssta.com/uploads/2016/12/default_image.vresize.1200.630.high.0.png
The Jakarta Post,"Deforestation of the Amazon rainforest in Brazil sped up in May to the fastest rate in a decade, according to data from an early-warning satellite system, as experts pointed to activity by illegal loggers encouraged by the easing of environmental protections … [+2844 chars]","Satellite data shows Amazon deforestation rising under Brazil's Bolsonaro - The Jakarta Post Jakarta Post Deforestation of the Amazon rainforest in Brazil sped up in May to the fastest rate in a decade, according to data from an early-warning satellite system.",2019-06-06T04:09:00Z,"{'id': None, 'name': 'Thejakartapost.com'}",Satellite data shows Amazon deforestation rising under Brazil's Bolsonaro - The Jakarta Post - Jakarta Post,https://www.thejakartapost.com/life/2019/06/05/satellite-data-shows-amazon-deforestation-rising-under-brazils-bolsonaro.html,https://img.jakpost.net/c/2019/06/05/2019_06_05_73910_1559746568._large.jpg
Reuters,"ReutersJun 06, 2019 12:03:16 IST
Deforestation of the Amazon rainforest in Brazil sped up in May to the fastest rate in a decade, according to data from an early-warning satellite system, as experts pointed to activity by illegal loggers encouraged by the ea… [+3219 chars]",Brazil's environment agency is facing serious budget cuts under current President Jair Bolsonaro. The post Brazil sees highest deforestation rate in history due to relaxed environmental laws appeared first on Firstpost.,2019-06-06T06:29:37Z,"{'id': None, 'name': 'Firstpost.com'}",Brazil sees highest deforestation rate in history due to relaxed environmental laws,https://www.firstpost.com/tech/science/brazil-sees-highest-deforestation-rate-in-history-due-to-relaxed-environmental-laws-6765511.html,https://images.firstpost.com/wp-content/uploads/2019/06/6Deforestation_Reuters1.jpg
Agence France-Presse,"Brazil: Brazil's Copa America preparations suffered a huge injury scare on Wednesday after striker Neymar limped off the field as the Selecao beat Qatar 2-0 in a friendly.
Brazils Neymar after sustaining an injury. Reuters
A distraught-looking Neymar was se… [+2932 chars]",Brazil's Copa America preparations suffered a huge injury scare on Wednesday after striker Neymar limped off the field as the Selecao beat Qatar 2-0 in a friendly. The post International friendlies: Brazil’s Copa America preparations suffer injury scare as Ne…,2019-06-06T04:10:28Z,"{'id': None, 'name': 'Firstpost.com'}",International friendlies: Brazil’s Copa America preparations suffer injury scare as Neymar sprains ankle in win over Qatar,https://www.firstpost.com/sports/international-friendlies-brazils-copa-america-preparations-suffer-injury-scare-as-neymar-sprains-ankle-in-win-over-qatar-6764931.html,https://images.firstpost.com/wp-content/uploads/2019/06/Brazil-Neymar-injury1.jpg
Agence France-Presse,"Brazil: Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar.
Brazil's Neymar leaves the pitch injured during a friendly football match against Qatar. AFP
""Due to the … [+2955 chars]",Superstar Neymar was ruled out of the Copa America Thursday after tearing his right ankle ligament during Brazil's 2-0 friendly win over Qatar. The post Brazil star Neymar out of Copa America 2019 after tearing right ankle ligament in friendly win over Qatar …,2019-06-06T08:47:00Z,"{'id': None, 'name': 'Firstpost.com'}",Brazil star Neymar out of Copa America 2019 after tearing right ankle ligament in friendly win over Qatar,https://www.firstpost.com/sports/brazil-star-neymar-out-of-copa-america-2019-after-tearing-right-ankle-ligament-in-friendly-win-over-qatar-6766701.html,https://images.firstpost.com/wp-content/uploads/2019/06/Neymar-Brazil-injury1.jpg
"Reuters, Reuters, AFP, AFP, Reuters, AFP, AFP, Entertainment Desk, Reuters","A woman accused Neymar, 27, of raping her at a Paris hotel last month, according to a police report seen by Reuters at the weekend. PHOTO: AFP 
BRASILIA: Brazil’s President Jair Bolsonaro on Wednesday came out in support of Neymar, the national soccer star w… [+1858 chars]",A woman accused 27-year-old forward of raping her at a Paris hotel last month The post Brazil’s president defends Neymar against rape accusation appeared first on The Express Tribune.,2019-06-06T08:31:15Z,"{'id': None, 'name': 'Tribune.com.pk'}",Brazil’s president defends Neymar against rape accusation,https://tribune.com.pk/story/1987368/7-brazils-president-defends-neymar-rape-accusation/,https://c.tribune.com.pk/2019/06/1987368-neymar-1559809852-280-640x480.jpg
